workload,tree,operations,final_size,height,comparisons,node_visits,rotations,time_ms,valid,n,repeat
sorted         ,BST   ,150,50,50,12450,6225,0,0.000,yes,100,1
sorted         ,AVL   ,150,50,6,1657,904,95,0.000,yes,100,1
sorted         ,Splay ,150,50,49,1108,570,372,0.000,yes,100,1
random         ,BST   ,200,34,11,2232,1429,0,0.000,yes,100,1
random         ,AVL   ,200,34,6,1722,1163,86,0.000,yes,100,1
random         ,Splay ,200,34,13,2985,1660,1397,0.000,yes,100,1
locality       ,BST   ,200,90,82,18909,9508,0,0.000,yes,100,1
locality       ,AVL   ,200,90,7,2126,1209,113,0.000,yes,100,1
locality       ,Splay ,200,90,41,1308,651,420,0.000,yes,100,1
sorted         ,BST   ,150,50,50,12450,6225,0,0.000,yes,100,2
sorted         ,AVL   ,150,50,6,1657,904,95,0.000,yes,100,2
sorted         ,Splay ,150,50,49,1108,570,372,0.000,yes,100,2
random         ,BST   ,200,34,11,2232,1429,0,0.000,yes,100,2
random         ,AVL   ,200,34,6,1722,1163,86,0.000,yes,100,2
random         ,Splay ,200,34,13,2985,1660,1397,0.000,yes,100,2
locality       ,BST   ,200,90,82,18909,9508,0,0.000,yes,100,2
locality       ,AVL   ,200,90,7,2126,1209,113,0.000,yes,100,2
locality       ,Splay ,200,90,41,1308,651,420,0.000,yes,100,2
sorted         ,BST   ,150,50,50,12450,6225,0,0.000,yes,100,3
sorted         ,AVL   ,150,50,6,1657,904,95,0.000,yes,100,3
sorted         ,Splay ,150,50,49,1108,570,372,0.000,yes,100,3
random         ,BST   ,200,34,11,2232,1429,0,0.000,yes,100,3
random         ,AVL   ,200,34,6,1722,1163,86,0.000,yes,100,3
random         ,Splay ,200,34,13,2985,1660,1397,0.000,yes,100,3
locality       ,BST   ,200,90,82,18909,9508,0,0.000,yes,100,3
locality       ,AVL   ,200,90,7,2126,1209,113,0.000,yes,100,3
locality       ,Splay ,200,90,41,1308,651,420,0.000,yes,100,3
sorted         ,BST   ,150,50,50,12450,6225,0,0.000,yes,100,4
sorted         ,AVL   ,150,50,6,1657,904,95,0.000,yes,100,4
sorted         ,Splay ,150,50,49,1108,570,372,0.000,yes,100,4
random         ,BST   ,200,34,11,2232,1429,0,0.000,yes,100,4
random         ,AVL   ,200,34,6,1722,1163,86,0.000,yes,100,4
random         ,Splay ,200,34,13,2985,1660,1397,0.000,yes,100,4
locality       ,BST   ,200,90,82,18909,9508,0,0.000,yes,100,4
locality       ,AVL   ,200,90,7,2126,1209,113,0.000,yes,100,4
locality       ,Splay ,200,90,41,1308,651,420,1.000,yes,100,4
sorted         ,BST   ,150,50,50,12450,6225,0,0.000,yes,100,5
sorted         ,AVL   ,150,50,6,1657,904,95,0.000,yes,100,5
sorted         ,Splay ,150,50,49,1108,570,372,0.000,yes,100,5
random         ,BST   ,200,34,11,2232,1429,0,0.000,yes,100,5
random         ,AVL   ,200,34,6,1722,1163,86,0.000,yes,100,5
random         ,Splay ,200,34,13,2985,1660,1397,0.000,yes,100,5
locality       ,BST   ,200,90,82,18909,9508,0,0.000,yes,100,5
locality       ,AVL   ,200,90,7,2126,1209,113,0.000,yes,100,5
locality       ,Splay ,200,90,41,1308,651,420,0.000,yes,100,5
sorted         ,BST   ,750,250,250,312250,156125,0,1.000,yes,500,1
sorted         ,AVL   ,750,250,8,11453,6232,493,1.000,yes,500,1
sorted         ,Splay ,750,250,249,5791,3018,2020,0.000,yes,500,1
random         ,BST   ,1000,193,19,15161,10111,0,0.000,yes,500,1
random         ,AVL   ,1000,193,9,12466,8364,439,0.000,yes,500,1
random         ,Splay ,1000,193,21,22052,12412,11106,0.000,yes,500,1
locality       ,BST   ,1000,490,479,493193,247072,0,2.000,yes,500,1
locality       ,AVL   ,1000,490,9,15041,8310,626,1.000,yes,500,1
locality       ,Splay ,1000,490,245,6553,3236,2095,0.000,yes,500,1
sorted         ,BST   ,750,250,250,312250,156125,0,1.000,yes,500,2
sorted         ,AVL   ,750,250,8,11453,6232,493,1.000,yes,500,2
sorted         ,Splay ,750,250,249,5791,3018,2020,0.000,yes,500,2
random         ,BST   ,1000,193,19,15161,10111,0,0.000,yes,500,2
random         ,AVL   ,1000,193,9,12466,8364,439,0.000,yes,500,2
random         ,Splay ,1000,193,21,22052,12412,11106,1.000,yes,500,2
locality       ,BST   ,1000,490,479,493193,247072,0,2.000,yes,500,2
locality       ,AVL   ,1000,490,9,15041,8310,626,0.000,yes,500,2
locality       ,Splay ,1000,490,245,6553,3236,2095,0.000,yes,500,2
sorted         ,BST   ,750,250,250,312250,156125,0,1.000,yes,500,3
sorted         ,AVL   ,750,250,8,11453,6232,493,1.000,yes,500,3
sorted         ,Splay ,750,250,249,5791,3018,2020,0.000,yes,500,3
random         ,BST   ,1000,193,19,15161,10111,0,0.000,yes,500,3
random         ,AVL   ,1000,193,9,12466,8364,439,0.000,yes,500,3
random         ,Splay ,1000,193,21,22052,12412,11106,1.000,yes,500,3
locality       ,BST   ,1000,490,479,493193,247072,0,2.000,yes,500,3
locality       ,AVL   ,1000,490,9,15041,8310,626,1.000,yes,500,3
locality       ,Splay ,1000,490,245,6553,3236,2095,0.000,yes,500,3
sorted         ,BST   ,750,250,250,312250,156125,0,1.000,yes,500,4
sorted         ,AVL   ,750,250,8,11453,6232,493,1.000,yes,500,4
sorted         ,Splay ,750,250,249,5791,3018,2020,0.000,yes,500,4
random         ,BST   ,1000,193,19,15161,10111,0,0.000,yes,500,4
random         ,AVL   ,1000,193,9,12466,8364,439,0.000,yes,500,4
random         ,Splay ,1000,193,21,22052,12412,11106,1.000,yes,500,4
locality       ,BST   ,1000,490,479,493193,247072,0,2.000,yes,500,4
locality       ,AVL   ,1000,490,9,15041,8310,626,1.000,yes,500,4
locality       ,Splay ,1000,490,245,6553,3236,2095,0.000,yes,500,4
sorted         ,BST   ,750,250,250,312250,156125,0,1.000,yes,500,5
sorted         ,AVL   ,750,250,8,11453,6232,493,0.000,yes,500,5
sorted         ,Splay ,750,250,249,5791,3018,2020,0.000,yes,500,5
