n,workload,tree,height_mean,height_stdev,comparisons_mean,comparisons_stdev,node_visits_mean,node_visits_stdev,rotations_mean,rotations_stdev,time_ms_mean,time_ms_stdev
100,sorted,BST,50.000,0.000,12450.000,0.000,6225.000,0.000,0.000,0.000,0.000,0.000
100,sorted,AVL,6.000,0.000,1657.000,0.000,904.000,0.000,95.000,0.000,0.000,0.000
100,sorted,Splay,49.000,0.000,1108.000,0.000,570.000,0.000,372.000,0.000,0.000,0.000
100,random,BST,11.000,0.000,2232.000,0.000,1429.000,0.000,0.000,0.000,0.000,0.000
100,random,AVL,6.000,0.000,1722.000,0.000,1163.000,0.000,86.000,0.000,0.000,0.000
100,random,Splay,13.000,0.000,2985.000,0.000,1660.000,0.000,1397.000,0.000,0.000,0.000
100,locality,BST,82.000,0.000,18909.000,0.000,9508.000,0.000,0.000,0.000,0.000,0.000
100,locality,AVL,7.000,0.000,2126.000,0.000,1209.000,0.000,113.000,0.000,0.000,0.000
100,locality,Splay,41.000,0.000,1308.000,0.000,651.000,0.000,420.000,0.000,0.200,0.447
500,sorted,BST,250.000,0.000,312250.000,0.000,156125.000,0.000,0.000,0.000,1.000,0.000
500,sorted,AVL,8.000,0.000,11453.000,0.000,6232.000,0.000,493.000,0.000,0.800,0.447
500,sorted,Splay,249.000,0.000,5791.000,0.000,3018.000,0.000,2020.000,0.000,0.000,0.000
500,random,BST,19.000,0.000,15161.000,0.000,10111.000,0.000,0.000,0.000,0.000,0.000
500,random,AVL,9.000,0.000,12466.000,0.000,8364.000,0.000,439.000,0.000,0.200,0.447
500,random,Splay,21.000,0.000,22052.000,0.000,12412.000,0.000,11106.000,0.000,0.600,0.548
500,locality,BST,479.000,0.000,493193.000,0.000,247072.000,0.000,0.000,0.000,2.000,0.000
500,locality,AVL,9.000,0.000,15041.000,0.000,8310.000,0.000,626.000,0.000,0.800,0.447
500,locality,Splay,245.000,0.000,6553.000,0.000,3236.000,0.000,2095.000,0.000,0.000,0.000
1000,sorted,BST,500.000,0.000,1249500.000,0.000,624750.000,0.000,0.000,0.000,6.000,0.707
1000,sorted,AVL,9.000,0.000,25652.000,0.000,13960.000,0.000,992.000,0.000,0.200,0.447
1000,sorted,Splay,499.000,0.000,11719.000,0.000,6097.000,0.000,4099.000,0.000,0.200,0.447
1000,random,BST,18.000,0.000,32623.000,0.000,21710.000,0.000,0.000,0.000,0.200,0.447
1000,random,AVL,10.000,0.000,27831.000,0.000,18771.000,0.000,902.000,0.000,0.600,0.548
1000,random,Splay,22.000,0.000,51102.000,0.000,28961.000,0.000,26334.000,0.000,0.600,0.548
1000,locality,BST,979.000,0.000,1985680.000,0.000,994141.000,0.000,0.000,0.000,9.200,0.447
1000,locality,AVL,10.000,0.000,33838.000,0.000,18243.000,0.000,1222.000,0.000,0.600,0.548
1000,locality,Splay,493.000,0.000,12507.000,0.000,6106.000,0.000,3843.000,0.000,0.600,0.548
2000,sorted,BST,1000.000,0.000,4999000.000,0.000,2499500.000,0.000,0.000,0.000,23.200,0.837
2000,sorted,AVL,10.000,0.000,56802.000,0.000,30920.000,0.000,1992.000,0.000,1.200,0.447
2000,sorted,Splay,999.000,0.000,23509.000,0.000,12250.000,0.000,8252.000,0.000,0.400,0.548
2000,random,BST,24.000,0.000,81541.000,0.000,54807.000,0.000,0.000,0.000,1.000,0.000
2000,random,AVL,11.000,0.000,61330.000,0.000,41348.000,0.000,1845.000,0.000,1.600,0.548
2000,random,Splay,22.000,0.000,115646.000,0.000,65832.000,0.000,60559.000,0.000,1.800,0.447
2000,locality,BST,1979.000,0.000,7971541.000,0.000,3988490.000,0.000,0.000,0.000,36.200,1.095
2000,locality,AVL,12.000,0.000,77083.000,0.000,42188.000,0.000,2410.000,0.000,1.600,0.548
2000,locality,Splay,992.000,0.000,25726.000,0.000,12697.000,0.000,8181.000,0.000,0.200,0.447
